"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000100242",1993.6653266392,-0.132177605513805,0.286392083308192,-0.461526743291873,0.644420738962065,0.790860865320822
"ENSG00000100243",1498.46237024358,0.0766368579965022,0.393531674993345,0.194741269550407,0.845595501951363,0.918439483797338
"ENSG00000100246",198.625298191408,-0.100292927667984,0.299912716860857,-0.334407052550941,0.73807241827892,0.853726560812501
"ENSG00000100253",3.17161790497689,0.790459546510542,1.23613192025493,0.639462126621183,0.522522344239927,0.698950994159007
"ENSG00000100258",607.770494442606,0.18599037724524,0.351508989668152,0.529119831105394,0.596722325361382,0.756415674774036
"ENSG00000100263",236.421954354236,0.524932055876009,0.37459407028643,1.40133573250272,0.161113700665827,0.329186436274805
"ENSG00000100266",2080.91956799523,-1.1164066285293,0.391437212588019,-2.85207076033494,0.00434354305143828,0.0228544673592481
"ENSG00000100271",43.2604085828004,0.411189053973906,0.527075226911232,0.780133523602611,0.435312285928555,0.628855408231731
"ENSG00000100276",6.03904961636005,1.08809799772737,0.91025294093242,1.19537982114375,0.231938665976152,0.421869959376494
"ENSG00000100280",1630.05385733913,-0.253289033520632,0.347069538017732,-0.729793328931367,0.465516522817841,0.654582246264975
"ENSG00000100281",396.157869036236,-0.200300318211492,0.384715496287056,-0.520645308402232,0.602613880286047,0.76025451788325
"ENSG00000100284",700.913137227977,0.203613571295394,0.318761843412837,0.638763940863802,0.522976509479573,0.69932217459367
"ENSG00000100285",12.2276456659512,-1.95981971385431,0.717018907139159,-2.73328875199933,0.00627053328827704,0.0301674539111056
"ENSG00000100288",71.821462509454,0.573613135629747,0.538678963594967,1.06485156168275,0.28694310767793,0.484222574973712
"ENSG00000100290",180.468574667846,0.372045088234175,0.461324695443101,0.806471216280384,0.419971198169496,0.615425746154788
"ENSG00000100292",547.366560345114,-0.411186093324538,0.350865807820076,-1.17191839204632,0.241229822145642,0.433391686726889
"ENSG00000100294",237.656997705078,0.199601346777056,0.473195278628435,0.421816015061697,0.673159315200299,0.811103406200652
"ENSG00000100296",378.233013523799,0.0903019734328138,0.345606802819523,0.261285289224963,0.79387251014914,0.887514872802288
"ENSG00000100297",944.981739577988,0.79361811717001,0.292027636190649,2.71761305718305,0.00657546865284552,0.0313716034434467
"ENSG00000100298",5.32757692125996,0.230457226912233,1.06741384638315,0.215902414694282,0.829063814837212,0.908685948191944
"ENSG00000100299",447.457457451842,-0.223645353752786,0.378494584927108,-0.590881250773658,0.554599989367234,0.724301366155237
"ENSG00000100300",1187.28050124735,0.296208084142143,0.453782307703326,0.652753708361407,0.513915071428383,0.692999066763347
"ENSG00000100302",71.3382835750656,-3.33466582315895,0.712479839300234,-4.68036516855565,2.86364392316604e-06,5.08032554540736e-05
"ENSG00000100304",2198.31085070027,0.173286109392278,0.531872650374941,0.325803760110848,0.744572833672848,0.857500942833236
"ENSG00000100307",395.685522937355,-0.676581406140604,0.446886402720686,-1.51398968959788,0.130028454510275,0.284173426860354
"ENSG00000100311",154.948297206027,0.716889102759446,0.358212874018064,2.00129351778489,0.0453607679028176,0.133052947887865
"ENSG00000100312",2.23155569564539,0.158834939073636,1.63537156444723,0.0971246795081239,0.922627382098694,NA
"ENSG00000100314",4.65226399672713,3.15873881782505,1.59194844529855,1.98419667870129,0.047233918670738,0.136726979143811
"ENSG00000100316",33651.7602015464,0.429737482267869,0.420100145806874,1.02294056918853,0.306335946314678,0.504409762462696
"ENSG00000100319",121.884263681896,0.251073608391217,0.282776147225217,0.887888214246194,0.374600885010872,0.573415130455095
"ENSG00000100320",1010.99158219851,-0.352736579598562,0.302695365494484,-1.1653187323246,0.243889999325169,0.436463633739077
"ENSG00000100321",49.8427500216468,-1.88145942742228,0.678205749962227,-2.77417203780278,0.00553424032775084,0.0274691832598353
"ENSG00000100324",432.997949566297,0.21215077314869,0.352897107286704,0.60116892082182,0.547727482446317,0.718757562361935
"ENSG00000100325",873.342888248467,-0.369059852487598,0.298999474184317,-1.23431605856301,0.21708515431153,0.402859449566783
"ENSG00000100330",125.408808842771,-0.489927642133264,0.329143783964905,-1.48849124911775,0.136621388241622,0.294043845870866
"ENSG00000100335",1001.14987225089,-0.108439939369261,0.355271946899824,-0.305230796620814,0.760190378538234,0.867241338968302
"ENSG00000100336",132.764790585256,-0.334490020091031,0.556113920852887,-0.601477516653491,0.547521982397654,0.718640260715427
"ENSG00000100342",1088.15810725787,-0.736442645777605,0.674049804758841,-1.09256414077753,0.274585214323893,0.471666465713394
"ENSG00000100344",14.0103295907146,3.38009180954116,0.956392064810989,3.53421147446383,0.000408993700225156,0.00342130729059406
"ENSG00000100345",19587.0121745674,0.225529232412346,0.300855494207508,0.749626437790072,0.45347972339825,0.644380812870061
"ENSG00000100346",9.40507342259648,0.312844009929447,1.07141343429063,0.291991867860588,0.770292841681574,0.873063099371246
"ENSG00000100347",648.456454667255,-0.454537114724455,0.310910985478099,-1.46195257149083,0.143754207213692,0.30434897669619
"ENSG00000100348",1120.32680422986,-0.417052003747475,0.374383728687562,-1.1139693629568,0.265292330286653,0.461343027544346
"ENSG00000100350",184.007272939727,0.547488884085981,0.606465119530603,0.902754118010499,0.366656407155619,0.565787726810843
"ENSG00000100351",81.2337383347863,-0.519322503551521,0.701928908004653,-0.739850571232034,0.459390669516231,0.649609083029657
"ENSG00000100353",3562.60403239486,0.120158342125736,0.392430292359685,0.306190282618662,0.75945977068178,0.866996693024835
"ENSG00000100354",497.458277541111,-0.597148059497695,0.360832340223858,-1.65491834553197,0.0979410623813218,0.232939686685519
"ENSG00000100359",1002.43313197157,-0.224368195878938,0.409397295859589,-0.548045134025236,0.583660912335432,0.746202136344718
"ENSG00000100360",158.841109711421,-0.32895927380576,0.307268111392017,-1.07059360086367,0.284352202019419,0.481404923929992
"ENSG00000100364",789.748259891363,0.207783367009009,0.491243615888784,0.422974182846277,0.672314097412696,0.810462978438356
"ENSG00000100365",132.735165912112,-0.775451220875931,0.453614999445506,-1.70949201817364,0.0873598489730502,0.214767855189128
"ENSG00000100368",374.258741921872,-1.70291419717546,0.498717182213795,-3.41458898531681,0.000638783239507145,0.00491159672400806
"ENSG00000100372",193.034699282634,0.0721771485740539,0.407827995087124,0.176979387005138,0.859524580774665,0.925410907289175
"ENSG00000100373",32.1502230551422,0.746301264267614,1.41390019296385,0.527831644681512,NA,NA
"ENSG00000100376",636.236694483187,-0.314545749877895,0.532158745997932,-0.591075035867431,0.554470145741898,0.724248813258772
"ENSG00000100379",281.650830718863,1.41632470126412,0.45766466351476,3.0946778595207,0.001970267637229,0.0123062833261557
"ENSG00000100380",3680.7225349676,-0.143782465606282,0.323535809425672,-0.444409742036033,0.656746371311918,0.79990771420088
"ENSG00000100385",264.559133819744,0.419798557576173,0.769272273580389,0.545708680779985,0.585266203874498,0.747477064242636
"ENSG00000100387",549.431316507307,0.59220442240916,0.311917201840533,1.8985949441542,0.0576177536799836,0.158652242613629
"ENSG00000100393",1520.08258316137,-0.582796935768558,0.3215230123837,-1.81261344700596,0.0698914623362565,0.182780810270245
"ENSG00000100395",447.694147400762,-0.0022955275442377,0.33936702406423,-0.00676414436720062,0.994603034797542,0.99693710849331
"ENSG00000100399",20.8949652768723,-0.487671787214141,0.962716333577876,-0.506558131616754,0.612464891706548,0.767363262717685
"ENSG00000100401",1584.78135868843,1.32288975505329,0.383727275949486,3.44747386481703,0.000565855150865824,0.00445357740216864
"ENSG00000100403",1799.37282421726,0.140966361892431,0.44940812520654,0.31367114652777,0.753770817268589,0.86297320832556
"ENSG00000100410",439.899935694961,0.501070218644596,0.337783886824655,1.48340473950643,0.137966908960315,0.296228970952815
"ENSG00000100412",2109.99919122797,-0.733949699155018,0.492232691670737,-1.49106248238784,0.135945091218524,0.293044758584111
"ENSG00000100413",427.113422162525,0.566208978032062,0.461945812400266,1.22570432036183,0.220309963812282,0.406623176645136
"ENSG00000100416",382.864834755648,0.615303082097586,0.313590938588495,1.96212009462751,0.049748503958525,0.142036480151236
"ENSG00000100417",422.240586613327,-0.331957911003212,0.30440909555909,-1.09049931768144,0.275493253712677,0.472287207011746
"ENSG00000100418",594.415661448965,0.804797426224854,0.358373148662713,2.24569678065445,0.0247234365336575,0.0855489680692505
"ENSG00000100422",930.323299444472,-0.654905194291754,0.438843096353484,-1.49234475769042,0.135608788990006,0.292710782070198
"ENSG00000100425",742.733913474,-0.26332946021801,0.238750206454405,-1.10294966495998,0.27004902460336,0.466202241939714
"ENSG00000100426",645.351631293351,-0.057529654226344,0.438937294212756,-0.131065769495674,0.89572327951196,0.943506198689093
"ENSG00000100427",3.39141387238586,1.02125166064252,1.12359651805134,0.90891315898138,0.363395967166496,0.563384835081075
"ENSG00000100429",155.35266232826,1.54240245707326,0.402677512883104,3.83036650353261,0.000127952536325202,0.00130079833781076
"ENSG00000100433",61.911413536107,-1.23883230888666,0.82999724495682,-1.49257400119577,0.13554873308184,0.292640760422016
"ENSG00000100439",321.49854242251,-0.454993204605726,0.310785698092214,-1.46400946825656,0.143191361347866,0.303723220067497
"ENSG00000100441",1676.00851422836,-0.146807603997431,0.353780509644264,-0.414968038078327,0.678165301064634,0.814428846159434
"ENSG00000100442",753.812560849507,0.171879291653779,0.35131586267025,0.489244323747224,0.624668733009984,0.776525910632722
"ENSG00000100445",147.451225580142,0.480675989803057,0.362335716680698,1.32660394124669,0.18463973142764,0.362474731111936
"ENSG00000100448",63.7283561507354,-5.96416188267711,0.926397192484763,-6.43801808885037,1.21043578000435e-10,6.77975249353112e-09
"ENSG00000100450",30.8082325753483,1.25425034890854,1.04767394502386,1.19717623490195,0.231237870737737,0.420942361978623
"ENSG00000100453",120.952047186231,2.02007121221613,0.964946373367686,2.09345438043985,0.0363086123533436,0.113556404361219
"ENSG00000100461",993.69894518201,-0.275123994908913,0.2662301295411,-1.03340668234337,0.301413620598603,0.499448144835399
"ENSG00000100462",1210.36307337439,0.727571466379564,0.444226969712513,1.63783722282873,0.101455654421679,0.238634968201577
